dateCrawled,name,price,,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen
2016-03-19 15:44,BMW_E38_730i_Leder_Navi_19Zoll_mit_neuen_Reifen,2300,bmw 7er limousine Automatic 1996 11,control,limousine,1996,Automatic,0,7er,150000,11,benzin,bmw,nein,2016-03-19 0:00,27446,2016-03-30 9:45
2016-03-20 11:53,BMW_323_ci_Bj._99,3999,bmw 3er coupe Manual 1999 0,test,coupe,1999,Manual,0,3er,150000,0,benzin,bmw,,2016-03-20 0:00,31812,2016-04-06 10:16
2016-03-20 13:36,530_d_Individual_E39_Zimt_M_Paket,3300,bmw 5er limousine Manual 2003 0,test,limousine,2003,Manual,0,5er,150000,0,diesel,bmw,,2016-03-20 0:00,44267,2016-03-20 13:36
2016-03-21 1:00,BMW_x3_2_5,9800,bmw x_reihe suv Manual 2004 11,test,suv,2004,Manual,0,x_reihe,150000,11,benzin,bmw,nein,2016-03-20 0:00,42579,2016-04-05 22:46
2016-03-22 0:58,Bmw__LPG_Automatik,1450,bmw 5er limousine Automatic 1998 5,control,limousine,1998,Automatic,0,5er,150000,5,lpg,bmw,nein,2016-03-21 0:00,31582,2016-04-03 17:46
2016-03-22 15:36,BMW_523_Touring_automatik,2200,bmw  kombi Automatic 1999 0,control,kombi,1999,Automatic,0,,150000,0,,bmw,nein,2016-03-22 0:00,63868,2016-04-02 7:17
2016-03-27 10:41,3_er_BMW_Touring,13980,bmw  kombi Manual 2011 10,control,kombi,2011,Manual,0,,80000,10,diesel,bmw,,2016-03-27 0:00,32584,2016-03-30 14:46
2016-03-27 11:53,735i_neuw.Prins_Gas_LPG_Voll_Tausch/Inz._moegl.Lesen!,8950,bmw 7er limousine Automatic 2004 7,test,limousine,2004,Automatic,0,7er,150000,7,lpg,bmw,ja,2016-03-27 0:00,42719,2016-03-30 16:44
2016-03-27 21:48,BMW_z3_ohne_TÃ?Å?�V__11/15_,3000,bmw z_reihe cabrio Manual 1997 4,test,cabrio,1997,Manual,0,z_reihe,150000,4,benzin,bmw,nein,2016-03-27 0:00,41199,2016-03-29 12:45
2016-03-30 9:51,BME_320_Ci_Cabrio,7787,bmw 3er cabrio Manual 2001 0,control,cabrio,2001,Manual,0,3er,90000,0,benzin,bmw,,2016-03-30 0:00,94486,2016-04-07 1:15
2016-03-30 22:49,3er_Reihe_320D_M_Paket_Aut.Limousine,6200,bmw 3er limousine Automatic 2009 5,control,limousine,2009,Automatic,0,3er,125000,5,diesel,bmw,,2016-03-30 0:00,97990,2016-03-30 23:45
2016-03-31 0:38,BMW_X5_3.0i_mit_Vialle_LPG_Gasanlage_und_Vollausstattung,8400,bmw  suv Automatic 2002 4,control,suv,2002,Automatic,0,,150000,4,lpg,bmw,nein,2016-03-30 0:00,42329,2016-04-06 0:17
2016-04-04 20:48,Bmw_e21__Umbau,15000,bmw  coupe Manual 1983 4,control,coupe,1983,Manual,0,,125000,4,,bmw,nein,2016-04-04 0:00,75443,2016-04-06 23:17
2016-04-05 9:58,Bmw_e65_730d,6800,bmw 7er limousine Automatic 2003 3,control,limousine,2003,Automatic,0,7er,150000,3,diesel,bmw,,2016-04-05 0:00,38518,2016-04-07 12:45
2016-04-03 19:48,Kombi__Bj_2006_1Hd_Vollausgestattet_Klima_bei_HH,2400,chevrolet andere kombi Manual 2006 6,test,kombi,2006,Manual,0,andere,150000,6,benzin,chevrolet,nein,2016-04-03 0:00,22952,2016-04-05 20:45
2016-03-17 9:51,Chrysler_Sebring_Cabrio_2_8,2500,chrysler andere cabrio Automatic 2002 1,test,cabrio,2002,Automatic,0,andere,150000,1,benzin,chrysler,,2016-03-17 0:00,25785,2016-04-02 9:47
2016-03-19 22:58,Der_Sommer_kommt,850,chrysler andere cabrio Automatic 1997 0,test,cabrio,1997,Automatic,0,andere,150000,0,,chrysler,,2016-03-19 0:00,79114,2016-03-22 12:47
2016-04-02 17:01,Jeep_Wrangler,2700,chrysler andere suv Manual 1990 10,control,suv,1990,Manual,0,andere,80000,10,benzin,chrysler,nein,2016-04-02 0:00,56588,2016-04-02 22:45
2016-03-13 18:43,Dyane_6_bj_75_Originalzustand,3950,citroen andere  Manual 1980 0,test,,1980,Manual,0,andere,60000,0,benzin,citroen,nein,2016-03-13 0:00,66280,2016-03-25 14:48
2016-03-15 21:48,Zu_verkaufen,500,citroen andere kleinwagen Manual 1998 0,control,kleinwagen,1998,Manual,0,andere,150000,0,benzin,citroen,,2016-03-15 0:00,6120,2016-04-07 6:16
2016-03-16 21:58,Wenig_km_nur_66tkm,3500,citroen c2 kleinwagen Manual 2009 0,control,kleinwagen,2009,Manual,0,c2,70000,0,benzin,citroen,,2016-03-16 0:00,79110,2016-03-17 23:17
2016-03-30 15:37,Citroen_Mehari,4750,citroen andere andere Manual 1980 4,test,andere,1980,Manual,0,andere,40000,4,benzin,citroen,nein,2016-03-30 0:00,34621,2016-03-30 15:37
2016-03-21 18:45,Fiat_600_D__Zastava_,4500,fiat andere kleinwagen Manual 1985 3,test,kleinwagen,1985,Manual,0,andere,30000,3,benzin,fiat,nein,2016-03-21 0:00,67590,2016-04-06 20:19
2016-03-19 15:50,Mofa_auto_mit_25_kmh_zulassung,2000,fiat panda kleinwagen Manual 1993 0,control,kleinwagen,1993,Manual,0,panda,125000,0,,fiat,nein,2016-03-19 0:00,22119,2016-03-24 10:46
2016-03-28 16:58,Verkauf_unseres_Fiat_Cinquecento!,900,fiat andere kleinwagen Manual 1994 8,test,kleinwagen,1994,Manual,0,andere,150000,8,benzin,fiat,nein,2016-03-28 0:00,37287,2016-04-06 22:17
2016-03-21 11:48,Fiat_Barchetta_1_8,1700,fiat andere cabrio Manual 1995 7,control,cabrio,1995,Manual,0,andere,125000,7,benzin,fiat,nein,2016-03-21 0:00,44805,2016-04-06 5:45
2016-04-05 12:45,Technische_sehr_gut,2700,fiat punto kleinwagen Manual 2004 5,test,kleinwagen,2004,Manual,0,punto,20000,5,benzin,fiat,nein,2016-04-05 0:00,76829,2016-04-05 12:45
2016-03-07 10:40,Ford__Focus_1_6_disel_klima_112400_km,3900,ford focus kombi Automatic 2007 3,test,kombi,2007,Automatic,0,focus,125000,3,diesel,ford,ja,2016-03-07 0:00,12103,2016-04-06 6:46
2016-03-08 21:45,Top_Zustand._Schiebedach,2200,ford fiesta limousine Manual 2002 8,control,limousine,2002,Manual,0,fiesta,150000,8,diesel,ford,nein,2016-03-08 0:00,51145,2016-03-23 21:19
2016-03-09 12:58,Kuplung_schleift,650,ford focus kombi Manual 1999 3,control,kombi,1999,Manual,0,focus,100000,3,benzin,ford,ja,2016-03-09 0:00,73733,2016-04-06 1:47
2016-03-09 14:52,Ford_Puma,500,ford andere coupe Manual 1998 1,test,coupe,1998,Manual,0,andere,125000,1,benzin,ford,ja,2016-03-09 0:00,1309,2016-03-12 13:45
2016-03-10 19:47,FIESTA_STYLE,990,ford fiesta kleinwagen Manual 1999 0,control,kleinwagen,1999,Manual,0,fiesta,150000,0,benzin,ford,,2016-03-10 0:00,52477,2016-03-15 14:18
2016-03-12 15:53,MONDEO_2_0TDCI_Leder_Beige_NAVI_Panorama,1700,ford mondeo kombi Manual 2004 9,control,kombi,2004,Manual,0,mondeo,150000,9,diesel,ford,,2016-03-12 0:00,53520,2016-03-12 15:53
2016-03-12 18:44,MONDEO_2_0TDCI_Leder_Beige_NAVI_Panorama,1700,ford mondeo limousine Manual 2004 9,test,limousine,2004,Manual,0,mondeo,150000,9,diesel,ford,,2016-03-12 0:00,53520,2016-03-12 18:44
2016-03-12 19:52,MONDEO_2_0TDCI_Leder_Beige_NAVI_Panorama,1700,ford mondeo limousine Manual 2004 9,test,limousine,2004,Manual,0,mondeo,150000,9,diesel,ford,,2016-03-12 0:00,53520,2016-03-12 19:52
2016-03-13 22:41,Ford_F_100_mit_H_Zulassung_302_V8_77er,7500,ford andere andere Automatic 1977 0,control,andere,1977,Automatic,0,andere,150000,0,benzin,ford,nein,2016-03-13 0:00,23623,2016-03-15 18:45
2016-03-21 6:36,Verkaufe_oder_Tausche_unsere_Familienkutsche,1300,ford galaxy bus Manual 1996 5,control,bus,1996,Manual,0,galaxy,150000,5,benzin,ford,,2016-03-21 0:00,17252,2016-04-06 2:15
2016-03-22 10:48,Ford_Taunus_12m_von__1968__Oldtimer_gruene_Plakette,2000,ford andere limousine Manual 1968 3,control,limousine,1968,Manual,0,andere,150000,3,,ford,nein,2016-03-22 0:00,46509,2016-03-27 23:16
2016-03-29 19:56,Ford_Galaxy_16_V__2_Hand__Scheck_Heft_.,4550,ford galaxy bus Manual 2004 6,control,bus,2004,Manual,0,galaxy,150000,6,benzin,ford,ja,2016-03-29 0:00,57482,2016-03-31 13:44
2016-03-30 21:47,Ford_Mercury_Colony_Park_410_FE_PREIS_REDUZIERT_!,2890,ford andere kombi Automatic 1966 6,test,kombi,1966,Automatic,0,andere,5000,6,benzin,ford,nein,2016-03-30 0:00,91083,2016-04-05 12:19
2016-03-31 8:56,Ford_Crown_Police_Interceptor,9999,ford andere limousine Automatic 2005 0,control,limousine,2005,Automatic,0,andere,150000,0,,ford,,2016-03-31 0:00,21465,2016-03-31 8:56
2016-04-02 15:36,Ford_Scorpio_mit_AHK,500,ford andere kombi Manual 1997 0,control,kombi,1997,Manual,0,andere,150000,0,benzin,ford,ja,2016-04-02 0:00,31737,2016-04-06 14:16
2016-04-03 17:47,Ford_Probe__mit_Tuev_bis_2017,1000,ford andere coupe Manual 1998 3,test,coupe,1998,Manual,0,andere,150000,3,benzin,ford,,2016-04-03 0:00,27711,2016-04-05 18:16
2016-03-16 21:47,Hallo_Verkaufe_mein_Auto__es_ist_aus_Ersterhand,900,honda civic limousine Manual 1997 6,control,limousine,1997,Manual,0,civic,150000,6,benzin,honda,,2016-03-16 0:00,59399,2016-04-07 9:45
2016-03-24 13:48,Tauschen_gegen_anderes_Auto_plus_Zuzahlung,700,honda   Manual 1998 0,control,,1998,Manual,0,,150000,0,benzin,honda,nein,2016-03-24 0:00,45147,2016-04-07 5:17
2016-03-15 14:39,Mini_Van_Transporter_Atos_TÃ?Å?�V_Neu_02_2018,650,hyundai andere kombi Manual 2000 2,control,kombi,2000,Manual,0,andere,150000,2,,hyundai,nein,2016-03-15 0:00,15848,2016-03-16 11:18
2016-03-25 9:53,hunday_santamo,500,hyundai andere bus Manual 1998 1,test,bus,1998,Manual,0,andere,20000,1,lpg,hyundai,nein,2016-03-25 0:00,9648,2016-03-25 10:44
2016-04-04 22:49,I30_1_6_Diesel_Klimaautomatik,3899,hyundai i_reihe limousine Manual 2009 1,test,limousine,2009,Manual,0,i_reihe,125000,1,diesel,hyundai,ja,2016-04-04 0:00,44809,2016-04-07 1:45
2016-03-18 10:42,Jeep_Grand_Cherokee_4.7_Automatik_Leder,2400,jeep grand  Automatic 2000 0,control,,2000,Automatic,0,grand,150000,0,benzin,jeep,,2016-03-18 0:00,27753,2016-03-25 1:45
2016-03-08 16:06,Lada_Niva_1.7i,4900,lada niva suv Manual 2007 11,control,suv,2007,Manual,0,niva,125000,11,lpg,lada,ja,2016-03-08 0:00,56355,2016-04-05 2:15
2016-03-22 1:47,Lada_Niva_1700i_HU_BIS_08_2017,2500,lada niva suv Manual 2002 0,test,suv,2002,Manual,0,niva,70000,0,,lada,,2016-03-21 0:00,9432,2016-04-05 13:17
2016-03-23 20:36,Lada_Niva_Lang_Version,1300,lada niva suv Manual 2008 12,test,suv,2008,Manual,0,niva,80000,12,benzin,lada,,2016-03-23 0:00,94431,2016-03-23 20:36
2016-03-19 15:51,Lancia_Y___1.2_benzin,1200,lancia ypsilon kleinwagen Manual 2002 0,control,kleinwagen,2002,Manual,0,ypsilon,150000,0,benzin,lancia,nein,2016-03-19 0:00,40764,2016-03-30 10:18
2016-03-14 12:54,Mazta_323_tuning,1000,mazda 3_reihe  Manual 2000 0,test,,2000,Manual,0,3_reihe,150000,0,,mazda,nein,2016-03-14 0:00,27383,2016-04-05 13:47
2016-03-18 7:37,klima................,1300,mazda 3_reihe coupe Manual 1998 0,test,coupe,1998,Manual,0,3_reihe,80000,0,benzin,mazda,,2016-03-18 0:00,12277,2016-03-18 7:37
2016-03-05 14:52,Mercedes_Benz_Vito_111_CDI_Lang,8300,mercedes_benz vito bus Manual 2006 3,control,bus,2006,Manual,0,vito,150000,3,diesel,mercedes_benz,nein,2016-03-05 0:00,54634,2016-04-07 10:44
2016-03-07 14:59,W124_CoupÃ?Â©_sportline,6000,mercedes_benz e_klasse coupe Automatic 1991 0,control,coupe,1991,Automatic,0,e_klasse,150000,0,benzin,mercedes_benz,,2016-03-07 0:00,51065,2016-03-11 2:16
2016-03-07 17:49,M.Benz_A170_cdi_L,1499,mercedes_benz a_klasse kleinwagen Manual 2003 5,test,kleinwagen,2003,Manual,0,a_klasse,150000,5,diesel,mercedes_benz,nein,2016-03-07 0:00,27753,2016-03-16 14:18
2016-03-08 0:53,E_350_T_4matic._Allrad._Automatik._Comand._Xenon._Standheizung.,9500,mercedes_benz e_klasse kombi Automatic 2005 6,control,kombi,2005,Automatic,0,e_klasse,150000,6,benzin,mercedes_benz,nein,2016-03-08 0:00,49179,2016-03-20 6:16
2016-03-08 9:38,Verkaufe_Benz_180_C_Kombi_Tuev_08/2017,950,mercedes_benz c_klasse kombi Manual 1999 9,control,kombi,1999,Manual,0,c_klasse,150000,9,benzin,mercedes_benz,,2016-03-08 0:00,37154,2016-03-09 7:45
2016-03-08 21:57,G_230_Mercedes_Benz,10000,mercedes_benz  suv Manual 1989 0,control,suv,1989,Manual,0,,5000,0,benzin,mercedes_benz,,2016-03-08 0:00,6132,2016-04-06 0:15
2016-03-09 8:54,Verkaufe_Benz_180_C_Kombi_Tuev_08/2017,950,mercedes_benz c_klasse kombi Manual 1999 9,test,kombi,1999,Manual,0,c_klasse,150000,9,benzin,mercedes_benz,,2016-03-09 0:00,37154,2016-03-10 4:15
2016-03-09 22:47,Mercedes_Vito_8_sitzer,1900,mercedes_benz vito bus Manual 1999 7,test,bus,1999,Manual,0,vito,150000,7,,mercedes_benz,nein,2016-03-09 0:00,13353,2016-03-13 3:45
2016-03-10 2:02,Mercedes_SEL500_Oldtimer,3200,mercedes_benz s_klasse limousine Automatic 1982 7,test,limousine,1982,Automatic,0,s_klasse,150000,7,,mercedes_benz,,2016-03-10 0:00,55568,2016-03-27 22:15
2016-03-10 10:48,SLK.230_Kompressor_AutomatikCABRIO_Leder_tuev_Oktober_20_16,2650,mercedes_benz slk cabrio Automatic 1999 7,test,cabrio,1999,Automatic,0,slk,150000,7,benzin,mercedes_benz,nein,2016-03-10 0:00,22559,2016-03-11 10:18
2016-03-10 16:47,E_200_Avantgard_Sportpaket__12_Monate_Garantie_Dvd,28900,mercedes_benz  limousine Automatic 2014 1,control,limousine,2014,Automatic,0,,50000,1,benzin,mercedes_benz,nein,2016-03-10 0:00,75177,2016-04-05 15:18
2016-03-10 17:38,Merzedes__benz_e270,3100,mercedes_benz e_klasse limousine Automatic 2004 4,control,limousine,2004,Automatic,0,e_klasse,150000,4,diesel,mercedes_benz,,2016-03-10 0:00,48529,2016-03-10 17:38
2016-03-10 19:30,Gruen_Met_._Alufelgen_Klima_.._Kein_TÃ?Å?�V,1000,mercedes_benz c_klasse limousine Automatic 1998 3,control,limousine,1998,Automatic,0,c_klasse,150000,3,diesel,mercedes_benz,nein,2016-03-10 0:00,65929,2016-04-07 2:45
2016-03-10 19:43,Verkaufe_ein_211_CDI_Sprinter,3150,mercedes_benz sprinter andere Manual 2000 6,control,andere,2000,Manual,0,sprinter,150000,6,diesel,mercedes_benz,nein,2016-03-10 0:00,83026,2016-03-21 9:46
2016-03-11 9:50,Verkaufe_Benz_180_C_Kombi_Tuev_08/2017,900,mercedes_benz c_klasse kombi Manual 1999 10,control,kombi,1999,Manual,0,c_klasse,150000,10,benzin,mercedes_benz,,2016-03-11 0:00,37154,2016-03-11 23:18
2016-03-11 14:51,Mercedes_Benz_Bus,5500,mercedes_benz vito bus Automatic 2001 7,control,bus,2001,Automatic,0,vito,150000,7,benzin,mercedes_benz,nein,2016-03-11 0:00,28215,2016-03-27 15:45
2016-03-12 15:46,Mb_180_c_mit_TÃ?Å?�V___,700,mercedes_benz c_klasse kombi Manual 1998 3,control,kombi,1998,Manual,0,c_klasse,150000,3,benzin,mercedes_benz,nein,2016-03-12 0:00,23684,2016-03-15 21:15
2016-03-12 16:06,Mercedes_Benz,1699,mercedes_benz e_klasse kombi Automatic 2003 2,control,kombi,2003,Automatic,0,e_klasse,150000,2,diesel,mercedes_benz,,2016-03-12 0:00,35619,2016-03-17 14:15
2016-03-15 2:02,1734211118,5000,mercedes_benz m_klasse suv Automatic 2003 0,test,suv,2003,Automatic,0,m_klasse,30000,0,,mercedes_benz,,2016-03-15 0:00,90513,2016-03-21 3:16
2016-03-17 11:50,Mercedes_Vito_zu_verkaufen_!!,5950,mercedes_benz vito andere Manual 2005 6,control,andere,2005,Manual,0,vito,150000,6,diesel,mercedes_benz,nein,2016-03-17 0:00,22929,2016-04-06 12:15
2016-03-17 13:37,Sprinter_906_KA_35,9500,mercedes_benz sprinter bus Manual 2008 4,control,bus,2008,Manual,0,sprinter,150000,4,diesel,mercedes_benz,nein,2016-03-17 0:00,19370,2016-04-06 19:47
2016-03-18 1:58,E_200_benziner,1200,mercedes_benz e_klasse limousine Manual 1998 8,control,limousine,1998,Manual,0,e_klasse,150000,8,,mercedes_benz,nein,2016-03-18 0:00,59929,2016-04-05 21:18
2016-03-19 18:53,Mercedes_benz_A,650,mercedes_benz a_klasse kleinwagen Manual 2000 6,test,kleinwagen,2000,Manual,0,a_klasse,150000,6,benzin,mercedes_benz,ja,2016-03-19 0:00,79761,2016-03-19 18:53
2016-03-20 10:36,Mercedes_vaneo,3300,mercedes_benz andere bus Manual 2003 11,control,bus,2003,Manual,0,andere,150000,11,diesel,mercedes_benz,,2016-03-20 0:00,88255,2016-04-06 6:17
2016-03-20 12:49,Clk_320_142000,4200,mercedes_benz clk coupe Automatic 1999 8,test,coupe,1999,Automatic,0,clk,150000,8,benzin,mercedes_benz,,2016-03-20 0:00,47475,2016-04-06 12:46
2016-03-20 19:46,W124__E500_top_geflegt,18000,mercedes_benz e_klasse limousine Manual 1994 6,test,limousine,1994,Manual,0,e_klasse,125000,6,benzin,mercedes_benz,nein,2016-03-20 0:00,49809,2016-03-20 19:46
2016-03-21 12:52,Suche_einen_Mercedes_V_klasse_Diesel_oder_Lpg_Gas,1700,mercedes_benz v_klasse  Manual 2000 1,control,,2000,Manual,0,v_klasse,150000,1,diesel,mercedes_benz,,2016-03-21 0:00,48599,2016-03-28 7:44
2016-03-21 14:54,Vito_120_._3.0Cdi_DPF_Automatik._Grune_Pakete,7900,mercedes_benz vito  Automatic 2007 7,control,,2007,Automatic,0,vito,150000,7,diesel,mercedes_benz,nein,2016-03-21 0:00,20359,2016-03-28 10:44
2016-03-22 15:56,Mercedes_e_klasse_Kombi,800,mercedes_benz e_klasse kombi Automatic 1996 0,control,kombi,1996,Automatic,0,e_klasse,150000,0,benzin,mercedes_benz,nein,2016-03-22 0:00,17438,2016-04-06 5:45
2016-03-22 18:52,A140_von_Ã?â??�lteren_Dame,1250,mercedes_benz a_klasse limousine Manual 2000 2,control,limousine,2000,Manual,0,a_klasse,150000,2,benzin,mercedes_benz,nein,2016-03-22 0:00,10557,2016-03-26 20:46
2016-03-23 16:56,Merzedes_benz_190_E,1000,mercedes_benz e_klasse coupe Manual 1988 4,test,coupe,1988,Manual,0,e_klasse,150000,4,benzin,mercedes_benz,nein,2016-03-23 0:00,49413,2016-03-27 22:44
2016-03-24 8:36,"verkaufe_super_G_klasse_""Vollausstattung""",29999,mercedes_benz g_klasse suv Automatic 2002 6,control,suv,2002,Automatic,0,g_klasse,150000,6,diesel,mercedes_benz,,2016-03-24 0:00,9387,2016-04-06 23:45
2016-03-24 18:54,SLK_200_Kompressor_Silbermettalic__Leder_schwarz,13990,mercedes_benz slk cabrio Manual 2006 3,test,cabrio,2006,Manual,0,slk,70000,3,benzin,mercedes_benz,nein,2016-03-24 0:00,26133,2016-04-01 16:19
2016-03-25 13:40,A_klasse_180_Cdi,3100,mercedes_benz a_klasse limousine Manual 2004 12,test,limousine,2004,Manual,0,a_klasse,150000,12,diesel,mercedes_benz,nein,2016-03-25 0:00,30938,2016-03-25 13:40
2016-03-26 13:46,E_320_CDi_Avantgarde_w211,9800,mercedes_benz e_klasse limousine Automatic 2003 0,control,limousine,2003,Automatic,0,e_klasse,150000,0,diesel,mercedes_benz,nein,2016-03-26 0:00,12105,2016-04-06 1:17
2016-03-26 16:45,Vito_110_Kastenwagen_Steuergerat_defekt!,2000,mercedes_benz vito bus Manual 2005 12,control,bus,2005,Manual,0,vito,150000,12,diesel,mercedes_benz,ja,2016-03-26 0:00,66606,2016-03-26 16:45
2016-03-26 20:38,Mercedes_Benz_a_Klasse_sehr_sauber_geflegt_TÃ?Å?�V_bis_09/16,1699,mercedes_benz a_klasse kleinwagen Manual 2000 3,control,kleinwagen,2000,Manual,0,a_klasse,150000,3,benzin,mercedes_benz,nein,2016-03-26 0:00,81737,2016-04-06 10:45
2016-03-27 9:37,Vito_108_CDI__Special__Schwarzmatt___2.Hand_LKW,2900,mercedes_benz vito bus Manual 2000 0,test,bus,2000,Manual,0,vito,150000,0,diesel,mercedes_benz,nein,2016-03-27 0:00,58638,2016-03-30 15:17
2016-03-29 18:55,Mercedes_Benz,2000,mercedes_benz vito bus Manual 1998 10,control,bus,1998,Manual,0,vito,150000,10,diesel,mercedes_benz,nein,2016-03-29 0:00,34132,2016-04-02 7:16
2016-03-30 13:37,Mercedes_A_Klasse_W167_Bj._2001,500,mercedes_benz a_klasse kleinwagen Manual 2001 0,test,kleinwagen,2001,Manual,0,a_klasse,150000,0,benzin,mercedes_benz,,2016-03-30 0:00,28359,2016-04-01 7:17
2016-03-30 19:52,C220_Leder_top,3700,mercedes_benz c_klasse kombi Manual 2005 11,test,kombi,2005,Manual,0,c_klasse,150000,11,diesel,mercedes_benz,,2016-03-30 0:00,40470,2016-03-30 19:52
