price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
1990,test,bus,1981,Manual,50,transporter,5000,1,benzin,volkswagen,nein,2016-03-09 0:00,0,87471,2016-03-10 7:44
690,test,kleinwagen,2003,Manual,60,punto,150000,3,benzin,fiat,nein,2016-03-08 0:00,0,86199,2016-03-09 11:45
3300,test,limousine,1995,Automatic,113,e_klasse,150000,1,diesel,mercedes_benz,nein,2016-04-03 0:00,0,53879,2016-04-05 15:16
18000,test,limousine,2007,Automatic,218,3er,20000,5,benzin,bmw,nein,2016-03-25 0:00,0,39179,2016-04-07 4:45
3500,control,limousine,2004,Automatic,122,e_klasse,150000,11,diesel,mercedes_benz,nein,2016-03-17 0:00,0,67071,2016-03-30 15:46
1600,control,andere,1991,Manual,75,kadett,70000,0,,opel,,2016-03-11 0:00,0,2943,2016-04-07 3:46
11900,test,andere,2002,Manual,129,andere,150000,11,diesel,volkswagen,nein,2016-04-01 0:00,0,10551,2016-04-05 12:47
1500,test,bus,1984,Manual,70,andere,150000,8,diesel,mercedes_benz,nein,2016-03-25 0:00,0,22767,2016-03-27 3:17
7500,control,limousine,2002,Automatic,306,e_klasse,150000,4,,mercedes_benz,,2016-03-30 0:00,0,33649,2016-04-03 11:44
12500,test,limousine,2006,Automatic,231,5er,150000,11,diesel,bmw,,2016-03-23 0:00,0,46119,2016-04-04 16:18
6990,test,limousine,2007,Manual,95,one,100000,8,benzin,mini,nein,2016-03-13 0:00,0,59174,2016-03-21 17:17
3900,test,kleinwagen,2008,Automatic,61,fortwo,80000,6,benzin,smart,,2016-03-17 0:00,0,21073,2016-03-19 11:46
590,control,kleinwagen,1999,Manual,75,clio,125000,8,benzin,renault,nein,2016-03-29 0:00,0,84180,2016-03-29 18:57
7999,control,limousine,2007,Manual,177,1er,150000,8,diesel,bmw,nein,2016-03-15 0:00,0,53604,2016-03-16 16:47
2100,test,kombi,1998,Automatic,193,5er,150000,2,benzin,bmw,nein,2016-04-03 0:00,0,86157,2016-04-06 8:16
13500,test,bus,2012,Automatic,109,b_klasse,150000,7,diesel,mercedes_benz,nein,2016-04-04 0:00,0,35576,2016-04-05 12:09
14800,control,cabrio,2008,Manual,170,1er,125000,4,benzin,bmw,,2016-03-30 0:00,0,48691,2016-04-07 0:17
7999,control,limousine,2008,Automatic,143,3er,150000,12,diesel,bmw,,2016-03-29 0:00,0,71083,2016-04-06 4:45
4700,control,kombi,2005,Manual,0,signum,150000,0,,opel,nein,2016-03-17 0:00,0,88433,2016-04-04 4:17
550,test,kombi,1999,Manual,0,astra,150000,8,diesel,opel,ja,2016-03-26 0:00,0,56759,2016-04-01 23:17
39600,test,coupe,2014,Automatic,306,andere,30000,7,benzin,bmw,nein,2016-03-21 0:00,0,10435,2016-04-03 23:16
3000,control,cabrio,2006,Automatic,61,fortwo,80000,1,benzin,smart,nein,2016-03-22 0:00,0,12055,2016-03-22 17:56
1000,control,limousine,1998,Manual,101,golf,150000,10,benzin,volkswagen,nein,2016-03-31 0:00,0,39624,2016-04-06 3:15
7499,test,limousine,2004,Automatic,232,a8,150000,3,diesel,audi,ja,2016-03-25 0:00,0,71711,2016-04-07 1:44
5500,control,kleinwagen,2010,Manual,60,fabia,70000,4,benzin,skoda,nein,2016-03-30 0:00,0,57076,2016-04-07 3:44
7000,test,limousine,2006,Automatic,105,jetta,100000,10,diesel,volkswagen,nein,2016-03-08 0:00,0,6242,2016-03-11 17:16
14999,test,cabrio,2007,Manual,218,3er,50000,8,benzin,bmw,nein,2016-03-07 0:00,0,1129,2016-03-15 10:17
9700,test,coupe,2008,Manual,160,scirocco,150000,8,benzin,volkswagen,nein,2016-03-15 0:00,0,55218,2016-04-06 4:17
2100,control,suv,2000,Manual,105,andere,150000,8,benzin,honda,nein,2016-02-09 0:00,0,85244,2016-03-31 16:46
1280,control,limousine,1992,Automatic,109,andere,150000,9,benzin,mercedes_benz,,2016-03-15 0:00,0,86163,2016-04-05 19:18
800,control,kleinwagen,1993,Manual,0,polo,150000,3,benzin,volkswagen,nein,2016-03-08 0:00,0,8258,2016-04-05 23:46
2300,control,,1997,Manual,150,5er,150000,3,,bmw,nein,2016-03-07 0:00,0,79341,2016-03-22 5:15
750,control,kleinwagen,2002,Manual,50,fiesta,150000,4,benzin,ford,nein,2016-03-05 0:00,0,70327,2016-03-11 6:16
7999,control,kombi,2008,Manual,156,c_klasse,150000,10,benzin,mercedes_benz,nein,2016-03-22 0:00,0,83355,2016-03-25 9:47
6600,control,limousine,2006,Manual,105,golf,150000,10,diesel,volkswagen,nein,2016-03-31 0:00,0,41812,2016-03-31 18:46
7999,test,kleinwagen,2013,Manual,80,micra,40000,4,benzin,nissan,nein,2016-03-17 0:00,0,46145,2016-04-06 7:44
1400,control,andere,2003,Manual,82,vito,150000,8,diesel,mercedes_benz,nein,2016-03-11 0:00,0,4668,2016-03-11 14:50
800,test,,2000,Manual,90,golf,150000,2,diesel,volkswagen,,2016-03-31 0:00,0,32584,2016-04-06 19:15
5000,test,bus,2006,Manual,109,sprinter,150000,4,diesel,mercedes_benz,nein,2016-03-10 0:00,0,26382,2016-03-12 14:45
20300,test,limousine,2010,Automatic,204,e_klasse,80000,12,diesel,mercedes_benz,nein,2016-03-11 0:00,0,51491,2016-04-03 1:26
600,test,limousine,1994,Manual,75,escort,100000,6,benzin,ford,ja,2016-03-09 0:00,0,37359,2016-04-05 23:44
3300,test,kombi,2005,Manual,150,c_klasse,150000,9,diesel,mercedes_benz,ja,2016-03-23 0:00,0,29221,2016-03-23 18:59
1600,test,kombi,1997,Automatic,122,forester,150000,10,benzin,subaru,nein,2016-03-12 0:00,0,87497,2016-03-15 6:46
8000,test,suv,2005,Manual,185,xc_reihe,150000,8,diesel,volvo,,2016-03-29 0:00,0,96472,2016-04-03 23:18
1800,control,bus,2001,Manual,87,andere,150000,7,diesel,mitsubishi,nein,2016-03-13 0:00,0,24116,2016-03-17 13:47
6800,control,kleinwagen,2009,Manual,82,fiesta,60000,12,benzin,ford,nein,2016-03-08 0:00,0,51065,2016-04-05 19:18
2990,test,bus,2004,Manual,113,scenic,150000,12,benzin,renault,nein,2016-03-07 0:00,0,41836,2016-03-09 6:15
2400,test,limousine,2003,Manual,0,a4,150000,9,diesel,audi,,2016-03-23 0:00,0,40210,2016-03-23 11:53
1222,control,limousine,1984,Automatic,180,andere,150000,3,benzin,opel,,2016-04-02 0:00,0,57290,2016-04-06 14:44
14500,test,kleinwagen,2013,Manual,86,a1,60000,4,benzin,audi,nein,2016-03-10 0:00,0,31582,2016-04-07 1:15
3850,test,limousine,2003,Manual,131,passat,150000,5,diesel,volkswagen,nein,2016-03-25 0:00,0,30459,2016-04-07 0:16
23490,control,limousine,2013,Automatic,143,3er,40000,6,diesel,bmw,nein,2016-03-31 0:00,0,49356,2016-04-06 3:44
6450,test,bus,2008,Manual,84,transporter,150000,12,,volkswagen,nein,2016-03-26 0:00,0,44623,2016-04-06 3:17
1700,test,kleinwagen,1999,Automatic,102,a_klasse,125000,11,benzin,mercedes_benz,nein,2016-04-01 0:00,0,12305,2016-04-01 12:45
4290,test,bus,2008,Manual,0,combo,150000,2,diesel,opel,nein,2016-03-11 0:00,0,23568,2016-04-05 22:45
1500,control,kombi,2006,Manual,109,focus,150000,10,diesel,ford,nein,2016-03-27 0:00,0,74223,2016-04-02 11:47
22999,control,coupe,2012,Automatic,303,andere,50000,4,benzin,hyundai,nein,2016-03-16 0:00,0,88167,2016-04-06 20:18
6500,test,limousine,2004,Manual,163,a4,150000,4,diesel,audi,,2016-04-01 0:00,0,97450,2016-04-01 9:54
900,test,kombi,1999,Manual,125,c_klasse,150000,7,diesel,mercedes_benz,nein,2016-03-26 0:00,0,37130,2016-03-29 11:44
650,test,limousine,1997,Automatic,102,3er,150000,8,benzin,bmw,,2016-03-21 0:00,0,13357,2016-03-22 14:49
3399,test,coupe,1999,Manual,224,tt,150000,9,benzin,audi,ja,2016-04-02 0:00,0,61276,2016-04-05 19:44
1300,control,kombi,1997,Manual,101,passat,150000,10,benzin,volkswagen,nein,2016-03-23 0:00,0,4277,2016-03-29 4:46
900,test,,1995,Manual,90,civic,150000,3,benzin,honda,,2016-03-16 0:00,0,35789,2016-03-19 17:19
7300,control,limousine,2009,Automatic,235,5er,100000,3,diesel,bmw,nein,2016-03-22 0:00,0,83022,2016-03-22 17:44
8599,test,cabrio,2006,Manual,200,astra,125000,9,benzin,opel,nein,2016-03-26 0:00,0,79761,2016-04-06 4:15
5900,control,kombi,2005,Automatic,178,a6,150000,1,diesel,audi,nein,2016-03-14 0:00,0,88131,2016-04-06 7:17
6300,test,limousine,2002,Manual,265,golf,150000,3,benzin,volkswagen,nein,2016-03-20 0:00,0,56759,2016-04-07 1:45
3500,control,coupe,1991,Manual,160,andere,150000,5,benzin,volkswagen,nein,2016-04-04 0:00,0,66111,2016-04-06 11:17
5950,test,limousine,2006,Manual,163,3er,150000,1,diesel,bmw,ja,2016-03-09 0:00,0,63526,2016-03-10 14:15
1699,control,kleinwagen,2003,Manual,77,jazz,150000,8,benzin,honda,nein,2016-04-03 0:00,0,42105,2016-04-07 14:57
4699,test,bus,1996,Manual,110,transporter,150000,8,benzin,volkswagen,nein,2016-03-20 0:00,0,79713,2016-03-25 13:45
9290,control,kleinwagen,2010,Manual,86,polo,40000,5,benzin,volkswagen,nein,2016-03-12 0:00,0,35630,2016-03-26 6:17
7000,control,limousine,2003,Manual,120,slk,150000,5,benzin,mercedes_benz,nein,2016-03-18 0:00,0,57578,2016-03-23 8:44
1199,test,kleinwagen,2000,Manual,60,twingo,150000,5,benzin,renault,nein,2016-04-01 0:00,0,28832,2016-04-05 13:44
1750,test,limousine,2002,Manual,75,focus,125000,1,benzin,ford,nein,2016-03-27 0:00,0,33330,2016-03-27 12:36
1000,test,limousine,1990,Manual,54,golf,150000,2,benzin,volkswagen,nein,2016-03-18 0:00,0,47447,2016-04-05 23:16
1800,control,limousine,1995,Automatic,286,7er,150000,12,benzin,bmw,ja,2016-03-11 0:00,0,77866,2016-03-20 10:17
8000,control,,2009,Manual,0,golf,100000,10,benzin,volkswagen,nein,2016-03-20 0:00,0,94139,2016-04-06 7:45
1100,control,bus,2003,Manual,75,combo,150000,3,diesel,opel,nein,2016-03-16 0:00,0,96224,2016-03-24 11:46
2990,test,kombi,2001,Automatic,170,e_klasse,150000,1,diesel,mercedes_benz,nein,2016-03-09 0:00,0,53520,2016-03-17 2:45
2750,test,kombi,2001,Manual,131,passat,150000,12,diesel,volkswagen,nein,2016-03-31 0:00,0,90471,2016-04-06 16:45
6990,control,kombi,2012,Manual,75,fabia,100000,5,diesel,skoda,nein,2016-03-28 0:00,0,44894,2016-04-03 13:58
4800,test,cabrio,1996,Manual,116,80,150000,6,benzin,audi,nein,2016-04-01 0:00,0,38300,2016-04-05 23:46
14499,control,limousine,2007,Automatic,170,c_klasse,125000,5,diesel,mercedes_benz,nein,2016-03-21 0:00,0,13439,2016-04-06 15:45
1450,control,limousine,1992,Manual,136,,150000,0,,audi,nein,2016-03-27 0:00,0,38709,2016-04-05 20:17
4300,test,limousine,2005,Manual,90,golf,150000,11,diesel,volkswagen,,2016-04-03 0:00,0,28779,2016-04-05 15:46
2499,test,limousine,2003,Manual,110,civic,150000,12,benzin,honda,,2016-03-24 0:00,0,42853,2016-03-24 14:38
3450,test,limousine,2007,Manual,120,147,150000,4,diesel,alfa_romeo,nein,2016-04-02 0:00,0,86678,2016-04-04 7:51
3550,control,kombi,2000,Automatic,184,5er,150000,11,diesel,bmw,nein,2016-03-13 0:00,0,72525,2016-04-06 8:45
8250,test,bus,2010,Manual,109,c_max,125000,10,diesel,ford,nein,2016-03-28 0:00,0,35606,2016-04-07 4:44
800,test,kleinwagen,1998,Manual,54,clio,150000,11,benzin,renault,nein,2016-03-09 0:00,0,34516,2016-03-14 11:46
1500,test,kombi,1996,Manual,126,a4,150000,0,,audi,nein,2016-03-14 0:00,0,24873,2016-03-17 0:45
41900,control,suv,2014,Automatic,204,glk,40000,9,diesel,mercedes_benz,nein,2016-03-30 0:00,0,82131,2016-04-06 1:17
4200,control,kombi,2003,Automatic,204,3er,150000,1,diesel,bmw,nein,2016-04-05 0:00,0,53757,2016-04-07 13:16
1000,test,kleinwagen,1996,Manual,75,golf,150000,3,benzin,volkswagen,nein,2016-03-27 0:00,0,38640,2016-04-01 12:45
800,control,limousine,2004,Manual,88,3_reihe,150000,9,benzin,peugeot,ja,2016-03-09 0:00,0,66333,2016-03-20 6:18
2300,control,limousine,2000,Manual,160,c_klasse,150000,5,benzin,mercedes_benz,nein,2016-03-22 0:00,0,40231,2016-03-22 11:41
4000,test,kombi,2003,Automatic,163,a6,150000,6,diesel,audi,nein,2016-03-29 0:00,0,22525,2016-03-31 1:47
9450,control,cabrio,2004,Manual,170,z_reihe,150000,12,benzin,bmw,nein,2016-04-03 0:00,0,65549,2016-04-07 11:15
6890,control,limousine,2003,Manual,170,c_klasse,125000,2,diesel,mercedes_benz,nein,2016-03-10 0:00,0,55743,2016-04-01 20:47
7500,test,suv,2007,Automatic,194,sorento,5000,11,benzin,kia,,2016-03-23 0:00,0,34314,2016-04-05 15:47
800,control,limousine,1993,Manual,0,golf,10000,9,benzin,volkswagen,ja,2016-04-01 0:00,0,65929,2016-04-07 11:17
1499,test,kleinwagen,2002,Manual,140,a_klasse,150000,10,,mercedes_benz,nein,2016-03-08 0:00,0,16727,2016-03-10 17:44
500,control,kleinwagen,1999,Manual,0,,150000,0,benzin,renault,nein,2016-03-19 0:00,0,26969,2016-04-01 11:17
850,test,limousine,1989,Manual,69,golf,125000,11,benzin,volkswagen,nein,2016-03-21 0:00,0,95485,2016-04-05 15:17
8500,test,bus,2007,Manual,131,transporter,150000,12,diesel,volkswagen,nein,2016-04-01 0:00,0,17291,2016-04-05 21:45
1500,test,limousine,2000,Manual,75,civic,125000,11,benzin,honda,nein,2016-03-28 0:00,0,12163,2016-04-02 11:47
950,control,limousine,1995,Manual,115,5er,150000,0,benzin,bmw,,2016-04-01 0:00,0,27751,2016-04-07 7:46
3200,test,kleinwagen,2004,Manual,64,ibiza,80000,2,benzin,seat,nein,2016-03-14 0:00,0,29633,2016-04-05 13:15
11890,test,bus,2011,Manual,116,c_max,150000,4,diesel,ford,nein,2016-03-19 0:00,0,97737,2016-04-06 18:48
2900,test,coupe,2000,Automatic,170,3er,150000,2,benzin,bmw,nein,2016-03-28 0:00,0,53332,2016-03-30 4:17
19750,test,cabrio,2006,Manual,305,mustang,50000,7,benzin,ford,nein,2016-03-07 0:00,0,38350,2016-03-12 20:18
9800,test,cabrio,2006,Manual,150,eos,60000,11,benzin,volkswagen,nein,2016-03-16 0:00,0,47198,2016-04-06 7:16
1990,control,kleinwagen,2003,Manual,80,fiesta,125000,4,benzin,ford,nein,2016-03-18 0:00,0,13469,2016-03-18 12:39
10500,control,bus,2006,Automatic,150,vito,150000,6,diesel,mercedes_benz,nein,2016-03-18 0:00,0,33729,2016-04-05 21:47
11000,test,limousine,2012,Manual,131,astra,70000,3,diesel,opel,nein,2016-03-24 0:00,0,34613,2016-04-05 11:56
2390,test,kombi,2000,Automatic,197,e_klasse,150000,5,diesel,mercedes_benz,nein,2016-03-20 0:00,0,27474,2016-04-05 22:46
16449,control,kombi,2015,Automatic,110,fabia,10000,8,benzin,skoda,nein,2016-03-08 0:00,0,95502,2016-04-06 1:17
2999,test,kombi,2001,Manual,0,3er,150000,7,benzin,bmw,,2016-03-12 0:00,0,45891,2016-04-07 9:17
14300,test,limousine,2011,Manual,120,a4,60000,5,benzin,audi,nein,2016-03-28 0:00,0,59494,2016-04-06 23:15
5999,test,kleinwagen,2009,Manual,80,polo,125000,5,benzin,volkswagen,nein,2016-03-21 0:00,0,65529,2016-04-05 20:47
3700,test,kombi,2003,Automatic,179,a6,150000,11,diesel,audi,nein,2016-03-10 0:00,0,64846,2016-03-13 0:16
8999,test,bus,2007,Manual,105,touran,90000,2,diesel,volkswagen,nein,2016-03-10 0:00,0,26689,2016-03-17 9:16
25000,control,coupe,1968,Automatic,305,mustang,90000,11,benzin,ford,nein,2016-03-31 0:00,0,74547,2016-04-06 10:45
2790,control,limousine,1992,Manual,90,80,80000,3,benzin,audi,nein,2016-03-30 0:00,0,1219,2016-04-05 15:46
13400,control,limousine,2008,Manual,170,3er,100000,12,benzin,bmw,nein,2016-03-20 0:00,0,64289,2016-04-07 11:17
4900,test,bus,2006,Manual,102,golf,150000,8,benzin,volkswagen,ja,2016-03-25 0:00,0,4288,2016-04-06 20:16
11299,control,limousine,2006,Automatic,250,golf,150000,8,benzin,volkswagen,nein,2016-03-08 0:00,0,22083,2016-03-19 9:46
550,control,andere,1997,Manual,75,golf,150000,6,benzin,volkswagen,nein,2016-04-03 0:00,0,96175,2016-04-07 12:45
1400,control,kleinwagen,2006,Manual,88,getz,150000,7,diesel,hyundai,ja,2016-03-21 0:00,0,51147,2016-04-02 22:47
1200,test,coupe,1990,Manual,45,,150000,0,benzin,volkswagen,,2016-03-27 0:00,0,83317,2016-04-07 8:17
9500,control,kombi,2011,Manual,131,insignia,150000,12,diesel,opel,nein,2016-03-22 0:00,0,31832,2016-04-02 13:15
1800,test,kombi,1999,Manual,90,golf,150000,4,diesel,volkswagen,nein,2016-03-20 0:00,0,1920,2016-04-06 22:47
1350,test,kleinwagen,2002,Manual,60,ka,150000,8,benzin,ford,,2016-04-04 0:00,0,24103,2016-04-07 0:15
11000,test,kombi,2006,Automatic,231,5er,150000,11,diesel,bmw,nein,2016-04-02 0:00,0,76332,2016-04-07 7:16
6900,control,cabrio,2006,Manual,163,megane,100000,1,benzin,renault,nein,2016-03-31 0:00,0,84416,2016-04-06 6:16
1600,test,limousine,1996,Automatic,0,7er,150000,5,benzin,bmw,nein,2016-03-30 0:00,0,12057,2016-04-01 10:45
12999,control,kombi,2008,Automatic,179,a6,150000,8,diesel,audi,nein,2016-04-01 0:00,0,25551,2016-04-05 14:18
18400,test,kombi,2011,Automatic,313,5er,150000,11,diesel,bmw,nein,2016-03-31 0:00,0,52477,2016-03-31 13:44
999,test,limousine,1995,Manual,75,andere,150000,10,benzin,volkswagen,nein,2016-03-25 0:00,0,76597,2016-04-06 6:45
12899,test,kombi,2009,Automatic,140,a3,150000,9,diesel,audi,nein,2016-03-27 0:00,0,51109,2016-04-06 2:15
10500,control,limousine,2010,Manual,143,3er,150000,5,diesel,bmw,nein,2016-03-31 0:00,0,29683,2016-04-06 14:18
8500,test,limousine,2010,Manual,80,golf,50000,3,benzin,volkswagen,nein,2016-04-02 0:00,0,34385,2016-04-02 10:51
14900,test,limousine,2007,Manual,265,1er,150000,10,benzin,bmw,nein,2016-04-05 0:00,0,14129,2016-04-05 11:48
500,control,kleinwagen,1994,Manual,75,golf,150000,3,benzin,volkswagen,nein,2016-03-17 0:00,0,23879,2016-03-28 14:45
1200,test,kleinwagen,2002,Manual,45,lupo,150000,9,benzin,volkswagen,nein,2016-03-11 0:00,0,38707,2016-03-20 7:18
1250,control,limousine,1996,Manual,125,a3,150000,9,benzin,audi,nein,2016-03-21 0:00,0,63811,2016-03-30 1:18
1000,test,kombi,1999,Manual,165,a6,150000,0,,audi,,2016-03-16 0:00,0,50181,2016-04-06 17:46
8600,control,coupe,2007,Manual,197,3er,150000,4,diesel,bmw,nein,2016-03-15 0:00,0,72116,2016-03-16 8:42
2222,test,cabrio,1991,Manual,98,golf,150000,3,benzin,volkswagen,nein,2016-03-07 0:00,0,17495,2016-04-06 13:17
850,control,,1985,Manual,54,caddy,150000,0,diesel,volkswagen,,2016-03-27 0:00,0,34471,2016-04-05 15:46
11800,test,limousine,2005,Automatic,218,3er,150000,11,benzin,bmw,nein,2016-04-05 0:00,0,88255,2016-04-07 12:17
4000,control,bus,2008,Manual,115,c_max,125000,6,diesel,ford,ja,2016-03-29 0:00,0,52525,2016-04-06 22:45
4650,test,kombi,2005,Automatic,150,c_klasse,150000,8,diesel,mercedes_benz,,2016-03-16 0:00,0,12109,2016-03-20 9:44
1450,test,kleinwagen,1999,Manual,75,2_reihe,150000,8,benzin,peugeot,nein,2016-03-23 0:00,0,21423,2016-04-01 15:15
800,control,kombi,2002,Manual,115,mondeo,150000,12,diesel,ford,,2016-03-08 0:00,0,34253,2016-03-10 8:17
1600,test,kombi,2000,Manual,90,cordoba,150000,11,,seat,nein,2016-03-20 0:00,0,67346,2016-03-26 19:18
2800,control,limousine,2004,Manual,75,golf,100000,9,benzin,volkswagen,ja,2016-03-05 0:00,0,6295,2016-03-16 6:45
5499,control,kombi,2004,Manual,122,c_klasse,150000,9,diesel,mercedes_benz,nein,2016-03-14 0:00,0,60318,2016-03-17 7:17
5500,control,limousine,2000,Manual,170,3er,150000,5,benzin,bmw,nein,2016-03-28 0:00,0,41470,2016-04-07 1:16
1000,control,suv,1982,Manual,41,andere,150000,11,benzin,suzuki,,2016-03-12 0:00,0,56337,2016-03-13 0:45
22290,control,kombi,2013,Manual,150,a4,50000,8,diesel,audi,nein,2016-03-26 0:00,0,84048,2016-04-06 11:45
1440,control,bus,2003,Manual,109,andere,150000,11,diesel,lancia,nein,2016-03-22 0:00,0,83317,2016-03-22 11:59
1150,control,kleinwagen,2000,Manual,75,clio,150000,3,benzin,renault,nein,2016-03-21 0:00,0,44879,2016-03-22 19:20
15700,test,limousine,2011,Manual,170,golf,90000,3,diesel,volkswagen,nein,2016-03-05 0:00,0,32832,2016-03-11 16:17
899,control,coupe,1995,Manual,102,3er,150000,8,benzin,bmw,nein,2016-03-17 0:00,0,85640,2016-03-20 7:17
9200,test,kombi,2006,Manual,150,3er,150000,1,benzin,bmw,nein,2016-04-01 0:00,0,85659,2016-04-05 8:50
3350,test,bus,2000,Manual,130,sprinter,150000,12,diesel,mercedes_benz,nein,2016-03-20 0:00,0,96472,2016-03-21 15:21
2700,control,kleinwagen,2006,Manual,75,clio,125000,6,benzin,renault,ja,2016-04-01 0:00,0,34582,2016-04-05 17:26
800,test,bus,2001,Automatic,114,andere,150000,4,benzin,mazda,ja,2016-03-10 0:00,0,35043,2016-03-20 15:45
10200,control,coupe,2008,Manual,0,andere,90000,6,benzin,nissan,,2016-03-06 0:00,0,71131,2016-04-06 22:17
9800,control,limousine,2008,Automatic,140,a6,150000,10,diesel,audi,nein,2016-04-03 0:00,0,48249,2016-04-03 11:59
14700,control,limousine,2012,Automatic,211,golf,60000,12,benzin,volkswagen,ja,2016-03-30 0:00,0,42283,2016-04-07 12:45
1200,control,limousine,1997,Manual,101,golf,150000,1,benzin,volkswagen,,2016-03-28 0:00,0,10777,2016-03-30 21:18
895,test,limousine,1995,Manual,75,colt,70000,3,benzin,mitsubishi,nein,2016-04-01 0:00,0,50823,2016-04-01 13:46
950,test,kleinwagen,1995,Manual,54,polo,150000,5,benzin,volkswagen,nein,2016-03-30 0:00,0,34270,2016-04-05 11:45
8000,test,limousine,2006,Manual,177,impreza,150000,0,,subaru,nein,2016-03-10 0:00,0,66540,2016-04-05 13:17
6799,test,limousine,2002,Automatic,286,5er,150000,2,lpg,bmw,nein,2016-03-16 0:00,0,41836,2016-04-07 5:16
500,control,kleinwagen,1999,Manual,56,corsa,150000,8,benzin,opel,nein,2016-03-23 0:00,0,32756,2016-03-23 19:54
11919,test,kleinwagen,2012,Automatic,90,polo,30000,11,benzin,volkswagen,nein,2016-03-05 0:00,0,6110,2016-04-07 4:46
25900,test,coupe,2009,Manual,265,andere,125000,5,benzin,porsche,nein,2016-03-21 0:00,0,93053,2016-03-25 6:17
10800,control,kleinwagen,2010,Manual,105,a1,125000,12,diesel,audi,nein,2016-03-06 0:00,0,24537,2016-03-09 22:18
650,test,limousine,2002,Manual,101,vectra,150000,1,benzin,opel,nein,2016-03-07 0:00,0,16816,2016-03-07 10:49
800,test,kombi,2000,Manual,118,3er,150000,9,benzin,bmw,ja,2016-03-10 0:00,0,51647,2016-03-10 15:52
1690,test,kleinwagen,2001,Manual,75,lupo,150000,5,diesel,volkswagen,nein,2016-03-27 0:00,0,45147,2016-04-01 23:44
3650,test,cabrio,2004,Manual,113,megane,150000,9,benzin,renault,,2016-04-04 0:00,0,21739,2016-04-07 0:45
4850,test,bus,2009,Manual,75,berlingo,80000,1,diesel,citroen,nein,2016-03-20 0:00,0,42651,2016-03-20 19:49
1450,control,limousine,1999,Manual,0,c_klasse,5000,8,,mercedes_benz,nein,2016-03-09 0:00,0,39120,2016-03-10 1:17
4500,control,kombi,2007,Manual,140,passat,150000,11,diesel,volkswagen,nein,2016-03-05 0:00,0,93437,2016-03-06 4:40
3900,control,kombi,2003,Manual,131,passat,150000,4,benzin,volkswagen,nein,2016-04-03 0:00,0,39218,2016-04-07 9:44
